"data_ym
","valor_concedido_milhoes
"
2015-01,11805
2015-02,8504
2015-03,11579
2015-04,11898
2015-05,8478
2015-06,8832
2015-07,8916
2015-08,8308
2015-09,7979
2015-10,7036
2015-11,7149
2015-12,8190
2016-01,5350
2016-02,5804
2016-03,7233
2016-04,6889
2016-05,7159
2016-06,7456
2016-07,6896
2016-08,7578
2016-09,5766
2016-10,6044
2016-11,7034
2016-12,9825
2017-01,5906
2017-02,6113
2017-03,6922
2017-04,6306
2017-05,7786
2017-06,8019
2017-07,7738
2017-08,7995
2017-09,6140
2017-10,6234
2017-11,6281
2017-12,6224
2018-01,6088
2018-02,5768
2018-03,6590
2018-04,6888
2018-05,7467
2018-06,7604
2018-07,7679
2018-08,8065
2018-09,7435
2018-10,8278
2018-11,7470
2018-12,7930
2019-01,5678
2019-02,7958
2019-03,7336
2019-04,7635
2019-05,8048
2019-06,8487
2019-07,8696
2019-08,7244
2019-09,8498
2019-10,10337
2019-11,9456
2019-12,9740
2020-01,7720
2020-02,7824
2020-03,9084
2020-04,8039
2020-05,8074
2020-06,10098
2020-07,11483
2020-08,12742
2020-09,12657
2020-10,13078
2020-11,13268
2020-12,14651
2021-01,10813
2021-02,12167
2021-03,15984
2021-04,14984
2021-05,16288
2021-06,16323
2021-07,15896
2021-08,18984
2021-09,17451
2021-10,15918
2021-11,16196
2021-12,15830
2022-01,12725
2022-02,12671
2022-03,16296
2022-04,12955
2022-05,15228
2022-06,16257
2022-07,16801
2022-08,16350
2022-09,16467
2022-10,15222
2022-11,15319
2022-12,14718
2023-01,13341
2023-02,12502
2023-03,17426
2023-04,14219
2023-05,15169
2023-06,15204
2023-07,14759
2023-08,15757
2023-09,16813
2023-10,16142
2023-11,15519
2023-12,16716
2024-01,15049
2024-02,15605
2024-03,17606
2024-04,18686
2024-05,20697
2024-06,20615
2024-07,21466
2024-08,21634
2024-09,20686
2024-10,19476
2024-11,17493
2024-12,18017
2025-01,17098
2025-02,17928
2025-03,17490
2025-04,18617
2025-05,18538
2025-06,18427
2025-07,17952
2025-08,18364
2025-09,19755
2025-10,21125
2025-11,18704
1899-12,
